fold,strategy,selected_variant,train_score,test_avg_return_pct,test_avg_max_dd_pct,test_avg_sharpe,test_avg_profit_factor,test_avg_trades,test_avg_win_rate,test_score,train_start,train_end,test_start,test_end
1,Jurik_Breakouts,fast,71.25817684906175,22.923661160576255,16.52367572902424,1.203512744325732,49.747658691612294,10.0,64.70588235294117,149.41372989544976,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,LuxAlgo_MSB_OB,fast,8.112289508544402,8.204456394851384,22.284138754534048,0.30840582561359753,1.2275032784635194,46.0,41.62162162162162,0.9867895944257299,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,BackQuant_VolSkew,fast,75.38456459421148,16.56894438675302,15.007511758681991,1.134187058183311,2.419060552922012,17.0,38.27838827838828,24.953959295681962,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,REH_REL_Breakout,fast,425.44662104232765,1.9239188185816825,3.4031111036391115,0.6823228817642173,49.5,0.5,50.0,130.45528097404036,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,DAFE_Bands_SmartComposite,base,297.4587979717008,23.029727840674617,19.602895594039296,1.428638757630455,2.638594533734881,6.0,55.55555555555556,32.15086439489279,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,PrimeUltimate_Sniper,fast,61.30355601391208,-0.3882959737172289,28.737507903759116,-0.5760303597568434,1.0106915182609018,75.0,30.0,-20.864375517888877,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,Extreme_HMA_ATR,slow,40.040361906111386,17.27713392067867,19.31252452793603,1.4489313033911946,1.6867396533375802,27.0,44.689655172413794,24.395781371172944,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,GK_Trend_Ribbon,slow,55.24462753660404,21.819785901453024,16.832851244993257,0.9328362841588085,2.5326771709084657,25.0,47.53694581280788,27.380130923316322,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,KTY_ABCD,slow,224.1300754578828,15.037368755492164,15.385224023773397,1.258042260995589,1.6836336186029088,12.5,43.58974358974359,22.59574099769129,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,Gaussian_MA,base,35.203003434421085,42.78236040633592,16.265680748251782,2.751163009396402,1.8207656390925102,77.0,40.25316455696203,65.08649614908015,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
1,SmartSafeZone,slow,-4.609131743212814,-19.808894490270784,32.97255346603146,-2.9015351201240858,0.8822039680692864,220.5,39.010522391151255,-66.4022678509573,2025-05-01T00:00:00+00:00,2025-07-09T12:00:00+00:00,2025-07-09T12:00:00+00:00,2025-09-17T00:00:00+00:00
2,Jurik_Breakouts,fast,127.30530604326405,-21.226564696240743,34.61238879333412,-1.9166055144727454,0.37512510810123384,6.0,41.42857142857143,-60.22224034671558,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,LuxAlgo_MSB_OB,slow,28.660669815417357,-30.77529228301699,38.664534607047756,-3.3812829075891857,0.32266350410829664,17.0,30.526315789473685,-86.98018336286677,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,BackQuant_VolSkew,fast,105.93314972771371,-15.896604487215106,31.70205752900795,-1.1569186353186593,0.6715333172131163,18.0,31.904761904761905,-44.80819206477368,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,REH_REL_Breakout,fast,883.9781468903456,-0.29111321766956966,11.464591891221405,0.1558993072900984,0.5541673883136526,1.5,16.666666666666664,-4.225456808717297,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,DAFE_Bands_SmartComposite,base,118.91147721376475,-9.68517074324109,29.966764636939686,-0.8210779049152461,0.6865729686722486,6.0,61.11111111111111,-34.15957615287674,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,PrimeUltimate_Sniper,slow,83.1748015084035,-24.84464864461534,36.07692079093083,-2.278244960795641,0.6961840856650243,51.0,26.54986522911051,-67.5327905129677,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,Extreme_HMA_ATR,slow,52.98642234692762,-21.911436579666088,32.437459107794,-1.8028159217906397,0.6020909643956829,23.0,42.19047619047619,-57.896843851259675,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,GK_Trend_Ribbon,slow,104.08478352448994,-20.365651926186917,31.363516970679264,-1.6605197132386846,0.5475992892493189,16.5,41.92307692307692,-54.41996101785802,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,KTY_ABCD,slow,110.48565903185003,-26.191385432916448,37.54264587417427,-2.6719449355987956,0.4042328681621293,11.5,30.384615384615387,-74.42584014300364,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,Gaussian_MA,base,89.80682715469499,-29.752725243826625,37.17149140829027,-2.8348866720215167,0.5606144882423924,52.0,30.78061413244543,-79.00295058840996,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
2,SmartSafeZone,slow,-45.08610134058047,-45.47065151338945,48.46631638162955,-5.442439909859848,0.616957396646479,175.5,41.93732101015361,-127.43244694934945,2025-05-01T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-11-25T12:00:00+00:00
3,Jurik_Breakouts,fast,35.6902110365975,0.8060416579362792,19.894510956105925,-0.029623334706017967,1.232478055209128,12.5,43.18181818181819,-8.345703124764636,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,LuxAlgo_MSB_OB,base,-18.10076473796198,-20.153464958607724,29.826014363405562,-2.0018032768866503,0.6056288366530911,35.5,36.25801282051282,-56.553034253884846,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,BackQuant_VolSkew,base,84.59340094332838,-22.151597691249513,32.91207973412013,-2.2688235609422183,0.15985404199385433,9.0,22.22222222222222,-64.18744603615914,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,REH_REL_Breakout,base,187.44500860142554,-21.232156953609305,28.96912234901146,-3.2770823737491077,0.0,1.0,0.0,-71.38445410050726,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,DAFE_Bands_SmartComposite,base,71.84562359521627,-18.457192296911018,30.31757917899996,-1.8024168505727864,0.0,2.0,0.0,-54.67190831003886,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,PrimeUltimate_Sniper,slow,7.973287942104889,-22.035083188359227,34.20217096699721,-2.5205785547461677,0.725874869465386,70.0,28.57142857142857,-65.94748414235576,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,Extreme_HMA_ATR,slow,-11.503712256125532,-5.128916601653016,21.63478209083136,-0.26374325654612313,0.9598960500645951,33.0,42.42424242424242,-18.347478296451577,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,GK_Trend_Ribbon,base,71.14249407113743,-17.35771098379714,30.52899004660854,-1.6139306420054162,0.6593965497911372,25.5,47.4537037037037,-50.16592005733858,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,KTY_ABCD,slow,29.143869322379857,-18.842906246146768,28.335231589953715,-1.736859842559852,0.5412314042559366,17.5,29.76190476190476,-51.85956511507767,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
3,Gaussian_MA,base,2.312532410381948,-31.404146591242238,38.625102038705776,-3.425523131462713,0.5815477438522643,87.5,25.137147335423197,-87.38056976946217,2025-05-01T00:00:00+00:00,2025-11-25T12:00:00+00:00,2025-11-25T12:00:00+00:00,2026-02-03T00:00:00+00:00
